Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Close*,Adj Close**
2/12/2018,1323.80,1325.50,1318.00,1324.20,1324.20,140.00,gold,,
2/13/2018,1324.50,1329.60,1323.40,1328.10,1328.10,71.00,gold,,
2/14/2018,1332.80,1355.50,1324.00,1355.50,1355.50,400.00,gold,,
2/15/2018,1352.00,1355.90,1349.70,1352.10,1352.10,111.00,gold,,
2/16/2018,1354.00,1361.40,1344.90,1353.20,1353.20,110.00,gold,,
2/20/2018,1348.40,1350.20,1328.50,1328.80,1328.80,283.00,gold,,
2/21/2018,1326.80,1331.50,1324.40,1330.00,1330.00,119.00,gold,,
2/22/2018,1322.00,1331.40,1322.00,1330.60,1330.60,70.00,gold,,
2/23/2018,1328.00,1332.10,1327.70,1328.20,1328.20,427.00,gold,,
2/26/2018,1335.00,1340.50,1330.70,1330.70,1330.70,652.00,gold,,
2/27/2018,1331.70,1332.60,1312.70,1315.50,1315.50,710.00,gold,,
2/28/2018,1315.40,1321.00,1315.40,1315.50,1315.50,58.00,gold,,
3/1/2018,1310.40,1318.10,1301.80,1302.90,1302.90,43.00,gold,,
3/2/2018,1314.30,1323.20,1314.30,1321.10,1321.10,155.00,gold,,
3/5/2018,1323.50,1325.90,1318.10,1318.10,1318.10,18.00,gold,,
3/6/2018,1321.60,1333.60,1321.40,1333.60,1333.60,18.00,gold,,
3/7/2018,1338.10,1338.10,1326.00,1326.00,1326.00,27.00,gold,,
3/8/2018,1324.80,1326.80,1319.30,1319.90,1319.90,62.00,gold,,
3/9/2018,1316.80,1322.40,1313.00,1322.40,1322.40,88.00,gold,,
3/12/2018,1319.40,1319.40,1319.40,1319.40,1319.40,0.00,gold,,
3/13/2018,1325.90,1325.90,1325.30,1325.90,1325.90,13.00,gold,,
3/14/2018,1322.20,1324.40,1322.20,1324.40,1324.40,19.00,gold,,
3/15/2018,1316.80,1316.80,1316.80,1316.80,1316.80,0.00,gold,,
