Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,97.68,97.72,97.56,97.64,97.64,0.0
2019-12-10,97.65,97.66,97.4,97.41,97.41,0.0
2019-12-11,97.51,97.6,97.04,97.16,97.16,0.0
2019-12-12,97.08,97.52,97.04,97.4,97.4,0.0
2019-12-13,96.78,97.24,96.72,97.17,97.17,0.0
2019-12-16,97.18,97.18,96.93,97.07,97.07,0.0
2019-12-17,97.14,97.3,97.03,97.21,97.21,0.0
2019-12-18,97.24,97.48,97.22,97.41,97.41,0.0
2019-12-19,97.4,97.49,97.22,97.42,97.42,0.0
2019-12-20,97.4,97.76,97.38,97.71,97.71,0.0
2019-12-23,97.67,97.82,97.58,97.66,97.66,0.0
2019-12-26,97.63,97.71,97.49,97.59,97.59,0.0
2019-12-27,97.54,97.55,96.92,96.92,96.92,0.0
2019-12-30,97.0,97.0,96.61,96.74,96.74,0.0
2019-12-31,96.73,96.73,96.36,96.39,96.39,0.0
2020-01-02,96.48,96.87,96.43,96.85,96.85,0.0
2020-01-03,96.79,97.11,96.71,96.84,96.84,0.0
2020-01-06,96.9,96.9,96.54,96.67,96.67,0.0
2020-01-07,96.65,97.09,96.62,96.98,96.98,0.0
2020-01-08,96.83,97.33,96.82,97.3,97.3,0.0
2020-01-09,97.27,97.56,97.25,97.45,97.45,0.0
2020-01-10,97.43,97.58,97.3,97.36,97.36,0.0
2020-01-13,97.35,97.53,97.31,97.35,97.35,0.0
2020-01-14,97.36,97.56,97.33,97.37,97.37,0.0
2020-01-15,97.38,97.44,97.16,97.23,97.23,0.0
2020-01-16,97.18,97.36,97.09,97.32,97.32,0.0
2020-01-17,97.31,97.66,97.27,97.61,97.61,0.0
2020-01-21,97.63,97.66,97.39,97.53,97.53,0.0
2020-01-22,97.62,97.69,97.44,97.53,97.53,0.0
2020-01-23,97.48,97.8,97.43,97.69,97.69,0.0
2020-01-24,97.72,97.95,97.67,97.85,97.85,0.0
2020-01-27,97.88,98.0,97.78,97.96,97.96,0.0
2020-01-28,97.95,98.16,97.9,98.02,98.02,0.0
2020-01-29,97.95,98.19,97.94,97.99,97.99,0.0
2020-01-30,98.03,98.07,97.79,97.87,97.87,0.0
2020-01-31,97.87,97.97,97.36,97.39,97.39,0.0
2020-02-03,97.37,97.89,97.37,97.8,97.8,0.0
2020-02-04,97.82,98.01,97.79,97.96,97.96,0.0
2020-02-05,97.94,98.32,97.9,98.27,98.27,0.0
2020-02-06,98.29,98.57,98.21,98.5,98.5,0.0
2020-02-07,98.46,98.71,98.42,98.68,98.68,0.0
2020-02-10,98.7,98.88,98.6,98.83,98.83,0.0
2020-02-11,98.86,98.95,98.71,98.72,98.72,0.0
2020-02-12,98.77,99.05,98.71,99.05,99.05,0.0
2020-02-13,98.99,99.11,98.85,99.07,99.07,0.0
2020-02-14,99.12,99.16,99.0,99.12,99.12,0.0
2020-02-18,99.19,99.47,99.14,99.46,99.46,0.0
2020-02-19,99.43,99.72,99.38,99.6,99.6,0.0
2020-02-20,99.54,99.91,99.53,99.87,99.87,0.0
2020-02-21,99.86,99.87,99.23,99.26,99.26,0.0
2020-02-24,99.34,99.64,99.11,99.29,99.29,0.0
2020-02-25,99.33,99.39,98.88,98.97,98.97,0.0
2020-02-26,99.08,99.27,98.91,99.0,99.0,0.0
2020-02-27,99.02,99.05,98.36,98.44,98.44,0.0
2020-02-28,98.42,98.66,97.96,98.13,98.13,0.0
2020-03-02,98.08,98.09,97.18,97.36,97.36,0.0
2020-03-03,97.56,97.7,96.98,97.15,97.15,0.0
2020-03-04,97.17,97.59,97.12,97.34,97.34,0.0
2020-03-05,97.38,97.44,96.52,96.82,96.82,0.0
2020-03-06,96.61,96.7,95.71,95.95,95.95,0.0
2020-03-09,95.79,95.79,94.65,94.9,94.9,0.0
2020-03-10,95.34,96.58,95.23,96.41,96.41,0.0
2020-03-11,96.33,96.62,95.91,96.51,96.51,0.0
2020-03-12,96.65,98.31,96.08,97.47,97.47,0.0
2020-03-13,97.45,98.81,97.34,98.75,98.75,0.0
2020-03-16,98.47,98.47,97.45,98.09,98.09,0.0
2020-03-17,98.14,99.83,97.98,99.58,99.58,0.0
2020-03-18,99.38,101.74,99.15,101.16,101.16,0.0
2020-03-19,100.79,102.84,100.77,102.76,102.76,0.0
2020-03-20,102.94,102.99,101.09,102.82,102.82,0.0
2020-03-23,101.95,102.98,101.65,102.49,102.49,0.0
2020-03-24,102.13,102.21,101.05,101.74,101.74,0.0
2020-03-25,101.6,101.91,100.84,101.05,101.05,0.0
2020-03-26,100.96,101.02,99.24,99.42,99.42,0.0
2020-03-27,99.29,99.81,98.27,98.37,98.37,0.0
2020-03-30,98.31,99.32,98.29,99.18,99.18,0.0
2020-03-31,99.25,99.95,98.89,99.05,99.05,0.0
2020-04-01,99.01,99.84,98.91,99.67,99.67,0.0
2020-04-02,99.51,100.41,99.34,100.18,100.18,0.0
2020-04-03,100.2,100.85,100.14,100.58,100.58,0.0
2020-04-06,100.66,100.93,100.48,100.69,100.69,0.0
2020-04-07,100.75,100.79,99.77,99.98,99.98,0.0
2020-04-08,99.91,100.43,99.9,100.12,100.12,0.0
2020-04-09,100.13,100.3,99.36,99.52,99.52,0.0
2020-04-13,99.49,99.63,99.14,99.35,99.35,0.0
2020-04-14,99.38,99.43,98.83,98.89,98.89,0.0
2020-04-15,98.82,99.98,98.82,99.46,99.46,0.0
2020-04-16,99.63,100.3,99.61,100.03,100.03,0.0
2020-04-17,99.86,100.29,99.62,99.78,99.78,0.0
2020-04-20,99.71,100.07,99.65,99.96,99.96,0.0
2020-04-21,99.94,100.48,99.93,100.26,100.26,0.0
2020-04-22,100.21,100.5,99.9,100.39,100.39,0.0
2020-04-23,100.45,100.69,100.04,100.43,100.43,0.0
2020-04-24,100.5,100.87,100.19,100.38,100.38,0.0
2020-04-27,100.23,100.32,99.83,100.04,100.04,0.0
2020-04-28,100.06,100.21,99.45,99.87,99.87,0.0
2020-04-29,99.88,99.89,99.47,99.57,99.57,0.0
2020-04-30,99.48,99.73,98.81,99.02,99.02,0.0
2020-05-01,99.13,99.21,98.78,98.8,98.8,0.0
2020-05-04,99.09,99.6,99.09,99.48,99.48,0.0
2020-05-05,99.51,99.97,99.3,99.71,99.71,0.0
2020-05-06,99.8,100.2,99.75,100.09,100.09,0.0
2020-05-07,100.21,100.4,99.81,99.89,99.89,0.0
2020-05-08,99.84,99.94,99.46,99.73,99.73,0.0
2020-05-11,99.67,100.28,99.67,100.24,100.24,0.0
2020-05-12,100.23,100.44,99.66,99.93,99.93,0.0
2020-05-13,100.01,100.28,99.58,100.24,100.24,0.0
2020-05-14,100.19,100.56,100.15,100.47,100.47,0.0
2020-05-15,100.26,100.49,100.08,100.4,100.4,0.0
2020-05-18,100.36,100.47,99.58,99.67,99.67,0.0
2020-05-19,99.62,99.73,99.23,99.37,99.37,0.0
2020-05-20,99.55,99.56,99.0,99.12,99.12,0.0
2020-05-21,99.18,99.51,99.02,99.37,99.37,0.0
2020-05-22,99.42,99.87,99.39,99.86,99.86,0.0
2020-05-26,99.77,99.77,98.9,98.91,98.91,0.0
2020-05-27,99.02,99.34,98.72,99.06,99.06,0.0
2020-05-28,98.91,99.09,98.35,98.38,98.38,0.0
2020-05-29,98.52,98.55,97.95,98.34,98.34,0.0
2020-06-01,98.3,98.32,97.79,97.83,97.83,0.0
2020-06-02,97.84,97.91,97.43,97.67,97.67,0.0
2020-06-03,97.57,97.63,97.19,97.28,97.28,0.0
2020-06-04,97.32,97.63,96.57,96.68,96.68,0.0
2020-06-05,96.74,97.03,96.44,96.94,96.94,0.0
2020-06-08,96.84,97.07,96.6,96.62,96.62,0.0
2020-06-09,96.63,97.06,96.23,96.32,96.32,0.0
2020-06-10,96.43,96.46,95.72,95.96,95.96,0.0
2020-06-11,96.09,96.83,95.95,96.73,96.73,0.0
2020-06-12,96.81,97.45,96.49,97.32,97.32,0.0
2020-06-15,97.09,97.39,96.6,96.68,96.68,0.0
2020-06-16,96.56,97.25,96.43,96.96,96.96,0.0
2020-06-17,97.01,97.34,96.8,97.16,97.16,0.0
2020-06-18,97.08,97.58,96.95,97.42,97.42,0.0
2020-06-19,97.42,97.72,97.16,97.62,97.62,0.0
2020-06-22,97.66,97.74,97.01,97.04,97.04,0.0
2020-06-23,96.93,97.25,96.39,96.69,96.69,0.0
2020-06-24,96.66,97.24,96.55,97.15,97.15,0.0
2020-06-25,97.24,97.6,97.16,97.43,97.43,0.0
2020-06-26,97.35,97.68,97.26,97.5,97.5,0.0
2020-06-29,97.5,97.65,97.11,97.54,97.54,0.0
2020-06-30,97.4,97.8,97.23,97.39,97.39,0.0
2020-07-01,97.39,97.62,97.03,97.2,97.2,0.0
2020-07-02,97.15,97.34,96.81,97.32,97.32,0.0
2020-07-06,97.15,97.2,96.57,96.79,96.79,0.0
2020-07-07,96.75,97.15,96.6,96.88,96.88,0.0
2020-07-08,96.99,97.05,96.4,96.43,96.43,0.0
2020-07-09,96.45,96.81,96.24,96.7,96.7,0.0
2020-07-10,96.75,96.97,96.44,96.65,96.65,0.0
2020-07-13,96.66,96.68,96.27,96.46,96.46,0.0
2020-07-14,96.54,96.7,96.18,96.26,96.26,0.0
2020-07-15,96.17,96.25,95.78,96.08,96.08,0.0
2020-07-16,96.0,96.4,95.89,96.35,96.35,0.0
2020-07-17,96.28,96.33,95.9,95.94,95.94,0.0
2020-07-20,96.01,96.18,95.73,95.83,95.83,0.0
2020-07-21,95.75,95.92,95.05,95.12,95.12,0.0
